ID,year,ttulo_de_inscripcin ,sinopsis ,sinopsis_idioma_original ,idioma,seleccin,duracin ,pas_de_origen ,region,universidad,categora ,gnero,regin,sitio_web ,facebook ,otra_red_social,contacto,trailer ,formato ,relacin_de_aspecto ,color,director ,escritor ,productor ,elenco ,otros_crditos ,,distribuidor ,imagen_principal
1701,2017,BILDVISNINGEN - A visual essay about obsolescence,"El corazón de todo: imágenes. Los vemos y los olvidamos, mientras se descomponen, se vuelven polvorientos, se queman y se convierten en cine. O, se acumulan, se vuelven muchos, demasiados. En todos lados. O tal vez los veamos en secreto, guardados celosamente como un recuerdo antiguo o un nuevo olvido.","The heart of it all: images. We see and forget them, while they decay becoming dusty, burning and becoming cinema. Or, they accumulate, they become many, too many. Everywhere. Or maybe we watch them secretly, jealously stored like an ancient memory or a new oblivion.",,2017,00:04:12,Portugal,Europa,Politecnioc de Leiría Escuela superior de Artes y Diseño,,,,,,,,https://vimeo.com/244657811,Digital,16:9,Color,Nuno Braumann,Nuno Braumann,Nuno Braumann,,,,N/A,/media/iskar/Seagate Backup Plus Drive/Proyectos/NEOS/catalogo/imagenes/catalogo_img_2017/bildvisningen_img_catalog.jpg
1702,2017,Strawberries and cream,Una conversación cómica entre un cajero y un cliente.,It is a comic conversation between a cashier and a client,Spanish,2017,00:05:19,México,América Latina,Instituto Tecnológico de Estudios Superiores de Monterrey,,,,,,,,,Digital,16:9,Color,Laura Solis,Laura Solis,Alejandro Soberanes,"Ricardo ”El tío” Silva, Alex Banquells, Alejandro Soberones , Aura Valerio",Sound: Josh García; Edition: Juan Carlos Ramírez; Direction of Photography: Francisco Díaz ; Director's assistant: Al Zaher; Make up: Cesia Espinoza,,,/media/iskar/Seagate Backup Plus Drive/Proyectos/NEOS/catalogo/imagenes/catalogo_img_2017/fresas_con_crema_img_catalog.jpg
1703,2017,The Meeting,,,,2017,00:10:25,Filipinas,Asia y Medio Oriente,,,,,,,,,https://youtu.be/yDLTsmHJeUU,Digital,16:9,Color,Aditi Deshpande,Aditi Deshpande,Maricar Igot,"Gregg Tecson, Shun Bacalla",,,,/media/iskar/Seagate Backup Plus Drive/Proyectos/NEOS/catalogo/imagenes/catalogo_img_2017/the_meeting_img_catalog.jpg
1704,2017,Sodoma,"En la ciudad de Sodoma, un campesino llamado Diego, cansado de su trabajo que no le gusta, decide enfrentarse al feudal de la ciudad, el sacerdote. En un bar, decepcionado de esa ciudad, Diego pierde su espiritualidad y, por lo tanto, decide dejar a Sodoma y todo atrás. Al salir, descubre que todos los habitantes de la ciudad han muerto y se encuentran con un anciano, a quien le hace reflexionar sobre la libertad que nunca perdió.","In the town of Sodoma, a peasant named Diego, being tired of his job which he doesn't like, decides to confront the town's feudal, the priest. In a bar, disappointed from that town, Diego loses his spirituality and therefore, decides to leave Sodoma and everything  behind. In his way out, he finds that all the town's habitants have died, and run into an old man, whom makes him reflectio  about the freedom he never lost.",Spanish,2017,00:11:37,México,América Latina,,,,,,https://www.facebook.com/SodomaShortFilm/,,,,Digital,16:9,Color,Pablo I. Bonilla,Pablo I. Bonilla,"Jorge Azueta, Juan Bernardo Castro","Raúl Baena, Ian Noe Frías, Iván Emmanuel Ríos, Ricardo Niño, Magdaleno Tejeda",,,,/media/iskar/Seagate Backup Plus Drive/Proyectos/NEOS/catalogo/imagenes/catalogo_img_2017/sodoma_img_catalog.jpg
1705,2017,MACHINE,"En un planeta distante, una máquina consume la fuerza vital de las mujeres. Una niña disiente en terminar la máquina, hasta que la máquina sensible se da cuenta de sus intenciones desesperadas. La mujer toma las armas contra lo terrible, pero, por desgracia, el mecanismo perverso la domina. La máquina busca aniquilar a la mujer. La poderosa máquina lanza sus tentáculos opresivos en el intento final de derribar a la mujer, pero golpea a sí misma en la confusión de la batalla, el golpe paralizante es aterrizado, lo que lleva a su explosiva desaparición ... Liberando a la mujer, y destruyendo el desolado y opresivo mundo originalmente se hizo cumplir.","On a distant planet, a machine consumes the life force of women. One girl dissents to end the machine, until the sentient machine takes notice of her desperate intentions. The woman takes arms against the terrible, but alas the wicked mechanism overpowers her. The machine seeks to annihilate the woman. The powerful machine launches its oppressive tentacles in the final attempt to cut the woman down, but strikes itself in the confusion of battle, the crippling blow is landed, leading to its explosive demise... Freeing the woman, and destroying the desolate and oppressive world It originally enforced.",,2017,00:02:54,México,América Latina, SAE Institute México,,,,https://vimeo.com/fersaldana,,,,https://vimeo.com/223383578,Digital,,Color,Fer Saldaña,,,,"Music: Sun Dogs Productions; Rigging: Daniel Cadena Llamas, Luis Daniel Huesca",,,/media/iskar/Seagate Backup Plus Drive/Proyectos/NEOS/catalogo/imagenes/catalogo_img_2017/machine_img_catalog.jpg
1706,2017,The Line,An exploration of the dynamics between parent and child when grief seems unbearable.,,,2017,00:04:44,Irlanda,Europa,,,,,http://dillonbrannick.com/the_line,,https://twitter.com/DillonBrannick,,https://vimeo.com/222162518,Digital,16:9,Color,Dillon Brannick,,,,"Music and Foley: Sofia Arteaga; Voice Cast: Sofia Arteaga, Jake O'Loughlin; Assistant Animators: Keith ""Kav"" Kavanagh; Animation Colouring Assistants: Fiona Ryan, Fiachra Hackett; Sound Production Coordination: Sam d'Entremont Saunders",,,/media/iskar/Seagate Backup Plus Drive/Proyectos/NEOS/catalogo/imagenes/catalogo_img_2017/the_line_img_catalog.jpg
1707,2017,god distortion,"Una niña de siete años de una familia cristiana se ve obligada a usar el silenciador por parte de su padre, por temor a ser violada.","A seven-year-old girl from a Christian family is forced to wear the muffler by her father, fearing that she will be raped By IsIs",Arabic,2017,00:07:00,Irak,Asia y Medio Oriente,Babylon University College of Arts,,,,,https://www.facebook.com/%D9%81%D9%8A%D9%84%D9%85-%D8%AA%D8%AC%D8%B1%D9%8A%D8%AF-%D8%A7%D9%84%D9%84%D9%87-Film-god-distortion-364143570600685/,,,https://www.youtube.com/watch?v=ycJ91A0-poI,Digital,2:35,Color,Karrar Mousa ,Karrar Mousa ,Mousa Abbas,"Narjis Muhannad, Ali Alshujairi, Nagham Albabily",,,,/media/iskar/Seagate Backup Plus Drive/Proyectos/NEOS/catalogo/imagenes/catalogo_img_2017/catalog_NEOS_placeholder
1708,2017,I'll be fine,"Balthasar, un soltero de unos veinte años, se muda a su casa por un tiempo intermedio. Su llegada conlleva algunas dificultades: perdió su conexión con el lugar. Todo parece diferente. Pero entonces Balthasar hace un descubrimiento alegre ...","Balthasar, a bachelor in his mid-twenties, moves back home for an in-between-time. His arrival carries a few difficulties within: He lost his connection to the place. Everything seems different. But then Balthasar makes a joyful discovery...",German,2017,00:09:15,Alemania,Europa,Karlsruhe University of Arts and Design,,,,,,,,,Digital,16:9,Color,Till Gombert,,,"Lion Russell-Baumann, Birgit Bücker, Olaf Creutzburg",Camera: Jason Stewart,,,/media/iskar/Seagate Backup Plus Drive/Proyectos/NEOS/catalogo/imagenes/catalogo_img_2017/ill_be_fine_img_catalog.jpg
1709,2017,Bela,La experimentación de la ausencia ante la experiencia. Un ciclo lleno de sentimientos. ¿Cómo narrar el dolor sin hablar?,The experimentation of the absence when faced with the experience. A cycle full of feelings. How to narrate the pain without speaking?,Portuguese,2017,00:12:00,Brasíl,América Latina,Escola Livre de Cinema de Nova Iguaçu,,,,http://facebook.com/luxcyano,https://facebook.com/luciano.desilva.9,,,https://www.youtube.com/watch?v=QHL5FZo8N8M,Digital,16:9,Black & White,Luciano DeSilva,"Luciano DeSilva, Isabela Leal","Luciano DeSilva, Isabela Leal","Luciano DeSilva, Isabela Leal",,,,/media/iskar/Seagate Backup Plus Drive/Proyectos/NEOS/catalogo/imagenes/catalogo_img_2017/BELA__img_catalog.jpg
1710,2017,Taste of Love,"¿Cuál es el sabor del amor? ¿Podría ser dulce, amargo, amargo o incluso salado? Una niña se embarca en un viaje aromático de amor, estimulando sus papilas gustativas hasta el punto culminante. Con todos los sentidos, explora las diversas formas que el amor puede adoptar. ""El amor es tan diverso como nuestro sentido del gusto"". Desde su primer toque íntimo, que dulcemente permaneció en su mente, hasta el sabor salado que el chico italiano dejó en sus labios en la playa, el alcohol amargo provocado por las noches o el extraño agrio. Sabor a limas que espoleaba aún más su curiosidad. La búsqueda del sabor ideal del amor ha sido abandonada durante mucho tiempo. Las infinitas posibilidades la animan a combinar los sabores más peculiares. La búsqueda una vez tenaz se convierte en un viaje placentero.","What is the taste of love? Could it be sweet, sour, bitter or even salty? A girl embarks on an aromatic journey of love, stimulating her taste buds to the point of climax. With all senses, she explores the various forms love can take on. “Love is as diverse as our sense of taste.” From her first intimate touch, that sweetly lingered on her mind, to the salty taste the Italian boy left on her lips at the beach, the bitter alcohol induced nights out or the strange sour taste of limes that spurred on her curiosity even further. The search for the ideal taste of love has long been abandoned. The endless possibilities encourage her to combine the most peculiar flavours. The once tenacious pursuit becomes a pleasurable journey.",English,2017,00:04:32,Austria,Europa,Ortweinschule Graz,,,,http://www.tasteoflove.at,https://facebook.com/tasteoflovemovie,,,https://filmfreeway.com/submissions/7993602,Digital,16:9,Color,Paul Scheufler,Gabriel Proedl,Paul Scheufler,Mirjam Hameter,Score & Sounddesign: Lukas Schönwiese; Edit: Lucas Cantera Fohsl; Director of Photography : Philipp Hafner,,,/media/iskar/Seagate Backup Plus Drive/Proyectos/NEOS/catalogo/imagenes/catalogo_img_2017/taste_of_love_img_catalog.jpg
